-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 03/01/2026 in LST
Location: latitude  29.0862   longitude -110.9592 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 165.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
AOD_55                CERES SYN1deg Aerosol Optical Depth 55 (dimensionless) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,MO,DY,RH2M,PRECTOTCORR,AOD_55,ALLSKY_SFC_SW_DWN,IMERG_PRECTOT
1981,1,1,39.6,0.0,-999.0,-999.0,-999.0
1981,1,2,38.01,0.0,-999.0,-999.0,-999.0
1981,1,3,30.92,0.01,-999.0,-999.0,-999.0
1981,1,4,45.91,0.08,-999.0,-999.0,-999.0
1981,1,5,75.73,9.37,-999.0,-999.0,-999.0
1981,1,6,77.05,18.54,-999.0,-999.0,-999.0
1981,1,7,77.87,10.73,-999.0,-999.0,-999.0
1981,1,8,65.67,0.02,-999.0,-999.0,-999.0
1981,1,9,53.86,0.0,-999.0,-999.0,-999.0
1981,1,10,56.27,2.24,-999.0,-999.0,-999.0
1981,1,11,78.69,19.27,-999.0,-999.0,-999.0
1981,1,12,82.92,2.94,-999.0,-999.0,-999.0
1981,1,13,73.42,1.19,-999.0,-999.0,-999.0
1981,1,14,64.0,0.59,-999.0,-999.0,-999.0
1981,1,15,63.76,1.89,-999.0,-999.0,-999.0
1981,1,16,76.26,5.4,-999.0,-999.0,-999.0
1981,1,17,62.59,0.02,-999.0,-999.0,-999.0
1981,1,18,70.89,0.0,-999.0,-999.0,-999.0
1981,1,19,50.84,0.0,-999.0,-999.0,-999.0
1981,1,20,54.58,0.0,-999.0,-999.0,-999.0
1981,1,21,50.79,0.0,-999.0,-999.0,-999.0
1981,1,22,34.78,0.0,-999.0,-999.0,-999.0
1981,1,23,43.21,0.0,-999.0,-999.0,-999.0
1981,1,24,47.04,0.0,-999.0,-999.0,-999.0
1981,1,25,72.95,0.2,-999.0,-999.0,-999.0
1981,1,26,77.15,0.03,-999.0,-999.0,-999.0
1981,1,27,58.0,0.0,-999.0,-999.0,-999.0
1981,1,28,49.09,0.0,-999.0,-999.0,-999.0
1981,1,29,53.52,0.0,-999.0,-999.0,-999.0
1981,1,30,45.41,0.0,-999.0,-999.0,-999.0
1981,1,31,44.93,0.0,-999.0,-999.0,-999.0
1981,2,1,34.56,0.0,-999.0,-999.0,-999.0
1981,2,2,34.57,0.0,-999.0,-999.0,-999.0
1981,2,3,50.23,0.0,-999.0,-999.0,-999.0
1981,2,4,57.03,0.0,-999.0,-999.0,-999.0
1981,2,5,42.39,0.0,-999.0,-999.0,-999.0
1981,2,6,41.81,0.07,-999.0,-999.0,-999.0
1981,2,7,44.03,0.02,-999.0,-999.0,-999.0
1981,2,8,43.31,1.1,-999.0,-999.0,-999.0
1981,2,9,65.14,0.15,-999.0,-999.0,-999.0
1981,2,10,64.54,0.0,-999.0,-999.0,-999.0
1981,2,11,39.28,0.0,-999.0,-999.0,-999.0
1981,2,12,37.02,0.0,-999.0,-999.0,-999.0
1981,2,13,40.85,0.03,-999.0,-999.0,-999.0
1981,2,14,41.27,0.0,-999.0,-999.0,-999.0
