FECHA,PRECIP_mean,PRECIP_max,TMAX_mean,TMIN_mean,EVAP_mean,RH2M,PRECTOTCORR,AOD_55,ALLSKY_SFC_SW_DWN,cont_SO_2,cont_CO,cont_NOx,cont_COV,cont_PM_010,cont_PM_2_5,cont_NH_3
1931-01-01,0.0,0.0,13.0,0.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-02-01,0.0,0.0,15.0,1.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-03-01,0.0,0.0,12.0,1.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-04-01,0.0,0.0,11.0,1.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-05-01,0.0,0.0,10.0,4.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-06-01,0.0,0.0,11.0,0.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-07-01,0.0,0.0,12.0,2.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-08-01,0.0,0.0,14.0,1.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-09-01,0.0,0.0,15.0,0.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-10-01,0.0,0.0,11.0,1.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-11-01,0.0,0.0,14.0,1.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-12-01,0.0,0.0,13.0,0.0,3.3755,43.47,0.0,0.04,4.2425,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-01-02,0.0,0.0,16.0,2.0,4.412,41.57,0.0,0.04,5.1509,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-02-02,0.0,0.0,17.0,4.0,4.412,41.57,0.0,0.04,5.1509,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-03-02,0.0,0.0,16.0,3.0,4.412,41.57,0.0,0.04,5.1509,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-04-02,8.0,8.0,12.0,5.0,4.412,41.57,0.0,0.04,5.1509,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
1931-05-02,10.0,10.0,14.0,3.0,4.412,41.57,0.0,0.04,5.1509,20611.021,240997.256,75245.086,138370.855,52329.73499999999,29400.143,28719.614
